1.1	720
1.2	760
1.3	830
1.35	890
1.4	745	
1.5	700
1.6	800
1.7	750
1.8	890
1.9	690
11	800
11	750
10	890
8	750
8	890
9	290
9	700
9	800
8	310
2.1	890
2.2	730
2.3	700
2.4	800
2.5	1300
2.55	1440
2.6	1200
2.7	1100
2.75	1200
2.85	1320
2.8	900
2.9	450
3.1	390
3.2	360
3.3	420
3.43	450
3.72	520
3.85	750
3.9	820
3.95	700
4.05	800
4.12	560
4.3	450
4.4	320
4.5	400
4.55	290
4.59	340
4.65	420
4.7	370
4.75	423
4.80	360
4.85	420
4.9	460
4.95	490
5.1	770
5.2	800
5.3	730
5.4	719
5.5	620
5.6	665
5.65	810
5.72	730
5.8	710
5.9	750
5.95	700
6.1	620
6.2	590
6.3	700
6.4	800
6.5	720
6.6	790
6.7	870
6.8	630
6.9	700
6.95	670
7.1	894
7.2	732
7.3	690
7.4	730
7.5	852
7.6	700
7.7	650
7.8	730
8.1	700
8.2	650
8.3	720
8.4	590
8.5	610
8.6	680
8.7	710
8.8	750
8.9	725
8.95	740
9.1	700
9.2	710
9.3	740
9.4	720
9.5	600
9.6	650
9.7	1200
9.8	1300
9.9	1100
10.1	1250
10.15	1400
10.2	900	
11	350
11.2	420
11.3	430
11.2	420
11.35	430
11.4	420
11.45	430
11.5	430
11.6	500
11.7	410
11.8	380
11.9	450
12.1	500
